scenario,omni_var,bin_id,bin_label,temp_mean,rho,n_eff,neff_factor,n,p_adj,window,ci_lower,ci_upper,data_type,display_bin_id
Global_High_LAI,f10_7_mean_ma1,0,Cold,-0.2093890309333801,-0.0055502420291304,45509.47699356079,0.6458542943000793,70464,0.2364103029570647,1,-0.014737199772491823,0.003637652721643655,F10.7,0.0
Global_High_LAI,f10_7_mean_ma2,0,Cold,-0.2093890309333801,-0.0053414250724017,45509.47699356079,0.6458542943000793,70464,0.2545111814801941,2,-0.014528421335708102,0.003846472947304346,F10.7,0.0
Global_High_LAI,f10_7_mean_ma3,0,Cold,-0.2093890309333801,-0.0055373343639075,45509.47699356079,0.6458542943000793,70464,0.2375020740926581,3,-0.014724294511541627,0.003650560612164825,F10.7,0.0
Global_High_LAI,f10_7_mean_ma4,0,Cold,-0.2093890309333801,-0.0050018550828099,45509.47699356079,0.6458542943000793,70464,0.2859625221433313,4,-0.014188912275246305,0.0041860465417042575,F10.7,0.0
Global_High_LAI,f10_7_mean_ma5,0,Cold,-0.2093890309333801,-0.0053787273354828,45509.47699356079,0.6458542943000793,70464,0.2512088999912736,5,-0.014565716776501621,0.003809170159059472,F10.7,0.0
Global_High_LAI,f10_7_mean_ma6,0,Cold,-0.2093890309333801,-0.0054213111288845,45509.47699356079,0.6458542943000793,70464,0.2474757422704772,6,-0.014608292750417851,0.003766585734880209,F10.7,0.0
Global_High_LAI,f10_7_mean_ma7,0,Cold,-0.2093890309333801,-0.0054101990535855,45509.47699356079,0.6458542943000793,70464,0.248446129107664,7,-0.014597182718795518,0.003777697977991458,F10.7,0.0
Global_High_LAI,f10_7_mean_ma8,0,Cold,-0.2093890309333801,-0.0056148306466639,45509.47699356079,0.6458542943000793,70464,0.2310005049901764,8,-0.014801776313317153,0.0035730629307498553,F10.7,0.0
Global_High_LAI,f10_7_mean_ma9,0,Cold,-0.2093890309333801,-0.0055058863945305,45509.47699356079,0.6458542943000793,70464,0.2401769387601531,9,-0.014692852387072212,0.0036820091176371266,F10.7,0.0
Global_High_LAI,f10_7_mean_ma10,0,Cold,-0.2093890309333801,-0.0052892700769007,45509.47699356079,0.6458542943000793,70464,0.2591787809080763,10,-0.014476275836084802,0.0038986286342055938,F10.7,0.0
Global_High_LAI,f10_7_mean_ma11,0,Cold,-0.2093890309333801,-0.0048860674723982,45509.47699356079,0.6458542943000793,70464,0.2972633715308828,11,-0.014073144956323946,0.0043018348968476856,F10.7,0.0
